gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,current_annual_salary
M,FRS,Fire and Rescue Services,Station 1,Fulltime-Regular,Firefighter/Rescuer III,2005-05-16,2005,70396.0
M,CAT,County Attorney's Office,Finance and Procurement,Fulltime-Regular,Assistant County Attorney III,1985-08-05,1985,143609.88
M,POL,Department of Police,PSB 5th District Educational Facilities Officers,Fulltime-Regular,Police Officer III,1995-09-18,1995,92756.7
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2016-02-22,2016,49068.12
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2016-10-31,2016,33395.0
F,DOT,Department of Transportation,Transportation Planning and Design Section,Parttime-Regular,Planning Specialist II,1996-02-12,1996,40912.36
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,1990-08-13,1990,57807.08
F,SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Client Assistance Specialist,2012-09-10,2012,56306.83
F,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Office Services Coordinator,2006-09-05,2006,46476.85
M,LIB,Department of Public Libraries,Technology Management,Parttime-Regular,Information Technology Technician III,1987-01-11,1987,39831.65
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,1995-09-18,1995,92756.7
M,FRS,Fire and Rescue Services,Property and Supply,Fulltime-Regular,Senior Supply Technician,2005-11-28,2005,58940.64
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,HVAC Mechanic I,2006-10-16,2006,73801.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2013-05-20,2013,43525.72
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2005-08-08,2005,41954.12
F,DLC,Department of Liquor Control,Kingsview,Parttime-Regular,Liquor Store Clerk I,2015-06-29,2015,28772.07
M,DTS,Department of Technology Services,ESOD Server Support,Fulltime-Regular,Senior Information Technology Specialist,1995-11-20,1995,120768.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2014-12-22,2014,42053.42
F,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2013-08-12,2013,60501.0
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Fire/Rescue Captain,2001-02-20,2001,110229.0
M,POL,Department of Police,ISB Major Crimes Division Fugitive Section,Fulltime-Regular,Police Sergeant,1989-08-07,1989,107128.71
M,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,1995-02-06,1995,92756.7
F,HHS,Department of Health and Human Services,School Based Health Centers,Fulltime-Regular,Nurse Manager,2008-08-04,2008,95352.51
M,DOT,Department of Transportation,Traffic Engineering Design and Operations,Fulltime-Regular,Senior Engineer Technician,2008-11-24,2008,82094.17
F,OMB,Office of Management and Budget,"Process, Production and Technology",Fulltime-Regular,Senior Information Technology Specialist,2014-01-27,2014,108844.93
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2000-02-13,2000,57805.31
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2016-01-04,2016,40631.32
M,HHS,Department of Health and Human Services,Home Care Services,Fulltime-Regular,Manager III,2012-12-17,2012,101633.26
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,1988-05-23,1988,48258.81
M,DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,Fulltime-Regular,Property Manager II,1990-03-19,1990,97912.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2013-11-12,2013,43525.72
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2013-06-03,2013,58455.0
M,FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Firefighter/Rescuer III,1994-02-22,1994,83611.44
M,DPS,Department of Permitting Services,Fire Code Compliance,Fulltime-Regular,Manager III,2004-09-07,2004,135270.36
M,POL,Department of Police,FSB Special Operations Division Tactical Operations Section,Fulltime-Regular,Police Officer III,2003-07-21,2003,83658.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2003-07-07,2003,56687.16
F,LIB,Department of Public Libraries,Director,Fulltime-Regular,Office Services Coordinator,1970-08-10,1970,69222.18
M,DOT,Department of Transportation,Transit Central Communication,Fulltime-Regular,Transit Communications Supervisor,2010-10-18,2010,49618.44
F,BOE,Board of Elections,Polling Place Management,Fulltime-Regular,Office Services Coordinator,2010-07-18,2010,49759.15
F,DOT,Department of Transportation,Traffic Engineering and Operations,Fulltime-Regular,Principal Administrative Aide,2002-09-16,2002,53278.7
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Manager II,2000-09-05,2000,136471.97
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,2005-05-16,2005,70396.0
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2000-07-17,2000,89620.0
F,POL,Department of Police,PSB 1st District Community Action Team,Fulltime-Regular,Police Officer III,2011-07-18,2011,65752.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,2005-08-08,2005,75832.74
M,POL,Department of Police,ISB Criminal Investigations Division 3rd District Investigative Section,Fulltime-Regular,Police Sergeant,2003-06-16,2003,93356.0
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2012-04-23,2012,54403.08
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,2000-08-14,2000,85673.0
F,FRS,Fire and Rescue Services,Emergency Medical Services,Fulltime-Regular,Administrative Specialist I,1975-10-06,1975,71644.96
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2009-08-03,2009,37838.46
F,DLC,Department of Liquor Control,Cloverly,Fulltime-Regular,Liquor Store Manager,1999-08-25,1999,79479.67
F,FIN,Department of Finance,Accounts Receivable,Fulltime-Regular,Manager III,1988-02-01,1988,135379.51
M,FRS,Fire and Rescue Services,Station 14,Fulltime-Regular,Master Firefighter/Rescuer,1998-01-12,1998,97560.0
F,CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,Manager II,1998-12-14,1998,126542.64
M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Fire/Rescue Captain,1994-02-22,1994,114087.02
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2002-01-14,2002,83658.0
F,LIB,Department of Public Libraries,Davis Library,Fulltime-Regular,Library Assistant Supervisor,2013-12-16,2013,58732.9
M,OAG,Office of Agriculture,Soil Conservation,Fulltime-Regular,State Department Agricultural Employee - SS,2004-07-01,2004,11147.24
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Sergeant,2003-02-03,2003,93356.0
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Administrative Specialist II,2005-07-25,2005,72247.78
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Supervisor,1993-11-10,1993,97447.18
M,OMB,Office of Management and Budget,Capital Budget Management,Fulltime-Regular,Senior Management and Budget Specialist,2011-11-21,2011,98181.41
F,HHS,Department of Health and Human Services,Income Supports,Parttime-Regular,Principal Administrative Aide,2005-02-22,2005,25013.96
F,DEP,Department of Environmental Protection,Field Services,Fulltime-Regular,Environmental Health Specialist III,2012-04-23,2012,60038.31
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,1997-08-18,1997,97912.0
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,1999-04-26,1999,97912.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2007-11-26,2007,46626.87
F,CCL,County Council,Council Central Staff,Fulltime-Regular,Manager II,1988-08-22,1988,156525.0
F,COR,Correction and Rehabilitation,PTS Supervision,Fulltime-Regular,Manager III,2000-04-24,2000,130018.88
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Legal Secretary II,2006-02-21,2006,52081.6
F,DTS,Department of Technology Services,ERP Division Chief's Office,Fulltime-Regular,Manager II,2014-09-22,2014,151344.13
F,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Sergeant,1999-11-08,1999,103506.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2008-04-28,2008,39257.31
M,DPS,Department of Permitting Services,"Team 3 Commercial Building, Life Safety, Structural and Accessibility",Fulltime-Regular,Senior Permitting Services Specialist,2015-09-08,2015,89247.02
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2013-03-12,2013,38085.07
M,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,2001-11-05,2001,89620.0
F,CCL,County Council,Council Central Staff,Fulltime-Regular,Legislative Attorney,2005-01-09,2005,101828.77
F,POL,Department of Police,FSB Special Operations Division,Fulltime-Regular,Office Services Coordinator,1998-06-25,1998,64430.78
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,2014-11-03,2014,36363.34
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2014-05-27,2014,42053.83
M,DEP,Department of Environmental Protection,Stormwater Facility Inspection and Maintenance,Fulltime-Regular,Program Manager II,1973-08-20,1973,93215.14
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2014-09-22,2014,48571.6
F,LIB,Department of Public Libraries,Long Branch Library,Fulltime-Regular,Librarian II,2012-10-22,2012,62971.1
M,FRS,Fire and Rescue Services,Station 13,Fulltime-Regular,Firefighter/Rescuer III,2008-09-02,2008,63493.0
M,FRS,Fire and Rescue Services,Station 28,Fulltime-Regular,Master Firefighter/Rescuer,2005-05-16,2005,79471.0
M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,2006-04-17,2006,73296.24
M,OMB,Office of Management and Budget,Special Projects,Fulltime-Regular,Senior Management and Budget Specialist,2008-10-13,2008,82356.81
F,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,2012-04-23,2012,56990.0
F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Principal Administrative Aide,2001-02-12,2001,58448.0
M,FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Fire/Rescue Captain,1997-11-17,1997,110229.0
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Firefighter/Rescuer III,2001-09-04,2001,88901.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,1997-12-22,1997,66543.05
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2001-10-08,2001,73801.0
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,2012-04-23,2012,59027.0
M,FRS,Fire and Rescue Services,Station 1,Fulltime-Regular,Firefighter/Rescuer III,2010-06-01,2010,57265.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2012-07-16,2012,45048.5
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Sergeant,2002-07-22,2002,96624.0
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016-12-12,2016,45261.0
F,HHS,Department of Health and Human Services,Autism Waiver,Fulltime-Regular,Program Specialist II,2001-09-24,2001,83006.73
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,2011-05-22,2011,50910.0
F,DTS,Department of Technology Services,COO Office - Project Mangement Office,Fulltime-Regular,Senior Information Technology Specialist,2002-06-03,2002,118400.0
F,LIB,Department of Public Libraries,Germantown Library,Fulltime-Regular,Manager III,1977-05-23,1977,130851.28
F,SHF,Sheriff's Office,Warrant Section,Fulltime-Regular,Principal Administrative Aide,2015-11-16,2015,37446.3
F,DEP,Department of Environmental Protection,Environmental Planning and Policy Implementation,Fulltime-Regular,Forest Conservation Coordinator,2002-01-14,2002,102664.0
F,DGS,Department of General Services,Energy and Sustainability,Fulltime-Regular,Program Manager II,2016-04-04,2016,82275.33
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Sergeant,1995-09-18,1995,107128.71
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016-12-12,2016,45261.0
M,FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,2000-02-14,2000,80784.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Motor Pool Attendant,2011-09-12,2011,45049.12
M,FRS,Fire and Rescue Services,Station 1,Fulltime-Regular,Master Firefighter/Rescuer,2002-02-11,2002,93245.0
F,OHR,Office of Human Resources,EEO Compliance and Diversity Management Division,Fulltime-Regular,Human Resources Specialist III,2005-06-13,2005,91034.07
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2015-08-24,2015,16610.72
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Social Worker III,1984-09-04,1984,100849.36
F,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Office Services Coordinator,2003-06-29,2003,49336.78
M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Fire/Rescue Captain,2000-02-14,2000,110229.0
M,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,1987-09-28,1987,100849.36
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2012-06-04,2012,43525.72
F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,2001-12-31,2001,97912.0
M,FRS,Fire and Rescue Services,Station 7,Fulltime-Regular,Firefighter/Rescuer III,1989-08-14,1989,85648.44
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2008-01-22,2008,61035.5
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Equipment Operator,2001-09-17,2001,50065.12
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2011-11-28,2011,45049.12
F,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer I,2008-01-07,2008,48258.81
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,2010-01-04,2010,93294.95
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,1985-09-09,1985,76015.03
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2013-05-20,2013,43525.72
F,HHS,Department of Health and Human Services,Home Care Services,Fulltime-Regular,Community Services Aide III,1989-02-06,1989,76015.03
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Supervisor (Sergeant),2001-07-09,2001,85445.0
F,DTS,Department of Technology Services,CIOs Office,Fulltime-Regular,Senior Executive Administrative Aide,2007-10-15,2007,73801.0
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2000-06-19,2000,77328.0
F,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Fiscal Assistant,2007-12-10,2007,67206.0
F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2014-02-24,2014,56478.0
M,DPS,Department of Permitting Services,Fire Protection,Fulltime-Regular,Permitting and Code Enforcement Inspector III,2012-01-03,2012,82511.5
F,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,2005-01-18,2005,75453.0
M,LIB,Department of Public Libraries,Materials Delivery,Fulltime-Regular,Driver/Clerk,1998-12-08,1998,51204.38
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,2013-01-14,2013,54709.01
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2002-11-25,2002,83658.0
F,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,1998-03-16,1998,89620.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,2008-09-02,2008,64870.65
F,NDA,Non-Departmental Account,MCERP,Fulltime-Regular,Administrative Specialist II,2015-02-23,2015,71085.56
F,LIB,Department of Public Libraries,Gaithersburg Library,Parttime-Regular,Librarian I,1990-02-25,1990,41910.63
M,DLC,Department of Liquor Control,Kensington,Fulltime-Regular,Liquor Store Clerk II,2000-04-04,2000,57760.61
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,2016-07-11,2016,55671.0
M,DOT,Department of Transportation,Traffic Engineering Design and Operations,Fulltime-Regular,Engineer Technician II,2010-02-01,2010,44289.72
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2014-08-18,2014,40631.72
M,FRS,Fire and Rescue Services,First Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2005-10-17,2005,85185.0
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2002-03-18,2002,74713.0
M,PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative I,2013-11-04,2013,40728.37
M,DLC,Department of Liquor Control,Darnestown,Parttime-Regular,Liquor Store Clerk I,2013-06-18,2013,29779.09
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,2013-06-18,2013,35134.11
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,1994-06-13,1994,92756.7
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Master Firefighter/Rescuer,2005-10-17,2005,79471.0
F,CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,1986-09-08,1986,53048.93
M,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Firefighter/Rescuer III,1993-09-20,1993,88661.44
M,DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Manager III,2001-02-26,2001,135392.0
F,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2005-08-15,2005,49949.14
M,FRS,Fire and Rescue Services,Station 10,Fulltime-Regular,Fire/Rescue Lieutenant,1977-07-24,1977,106754.6
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2008-06-23,2008,37838.73
M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),2006-05-15,2006,65105.0
F,PRO,Office of Procurement,Procurement Operations Section,Fulltime-Regular,Procurement Specialist IV,2015-06-15,2015,52518.43
M,DHS,Office of Emergency Management and Homeland Security,Operations and Training,Fulltime-Regular,Emergency Management Specialist II,2014-10-20,2014,79722.99
F,LIB,Department of Public Libraries,Kensington Park Library,Parttime-Regular,Librarian I,1986-09-02,1986,36597.39
F,PIO,Office of Public Information,Cable Programming,Fulltime-Regular,Visual Information Specialist,2010-11-22,2010,75241.76
M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2004-01-12,2004,75370.21
M,COR,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,2016-02-22,2016,42792.0
M,FRS,Fire and Rescue Services,Fire and Explosive Investigations,Fulltime-Regular,Fire/Rescue Lieutenant,2005-10-17,2005,87222.0
F,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Program Manager II,2005-06-27,2005,100047.77
F,HHS,Department of Health and Human Services,TB and Refugee Health,Fulltime-Regular,Nurse Manager,1998-02-23,1998,102664.0
F,HHS,Department of Health and Human Services,Treatment Services Admin,Fulltime-Regular,Program Specialist II,1994-06-26,1994,87523.22
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,1986-12-21,1986,83497.98
M,REC,Department of Recreation,Germantown Indoor Pool,Fulltime-Regular,Recreation Supervisor,1998-03-29,1998,85428.25
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2006-09-04,2006,50699.16
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Sergeant,1997-09-29,1997,103506.0
M,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2010-06-01,2010,36797.11
F,HHS,Department of Health and Human Services,Community Support Network for People with Disabilities,Fulltime-Regular,Program Specialist II,2004-01-26,2004,70165.08
M,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,2006-02-06,2006,62430.09
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2000-03-27,2000,76465.53
F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Therapist II,2002-01-22,2002,97912.0
M,DOT,Department of Transportation,Sign and Marking Shop,Fulltime-Regular,Public Service Worker III,2014-06-30,2014,37223.83
M,FRS,Fire and Rescue Services,Station 10,Fulltime-Regular,Firefighter/Rescuer III,2006-03-27,2006,64776.0
F,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Firefighter/Rescuer III,1987-08-10,1987,88661.44
F,HHS,Department of Health and Human Services,Ombudsman Services,Fulltime-Regular,Program Manager I,2014-12-15,2014,80162.23
M,DOT,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Manager III,1983-07-22,1983,135392.0
M,DLC,Department of Liquor Control,Retail Administration,Fulltime-Regular,Program Manager II,2005-07-11,2005,95995.95
F,LIB,Department of Public Libraries,Poolesville Library,Parttime-Regular,Library Aide,2011-07-19,2011,16685.02
F,DOT,Department of Transportation,Traffic Engineering and Operations Management Services,Fulltime-Regular,Management and Budget Specialist III,2000-12-17,2000,90006.97
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,1984-05-29,1984,75277.02
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Principal Administrative Aide,2007-10-01,2007,44851.63
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader IV,2006-06-26,2006,60917.35
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2014-10-06,2014,53788.0
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,2012-04-18,2012,57265.0
F,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer I,2004-10-18,2004,53505.69
M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Master Firefighter/Rescuer,2001-02-20,2001,85854.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2008-10-13,2008,44757.56
F,CEC,Community Engagement Cluster,Regional Services Centers,Fulltime-Regular,Director Regional Services Center,2015-11-02,2015,155000.0
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2007-07-16,2007,70435.0
M,DLC,Department of Liquor Control,Retail Operations,Fulltime-Regular,Manager II,1998-09-28,1998,156525.0
F,HHS,Department of Health and Human Services,Abused Persons Program,Fulltime-Regular,Therapist II,1993-11-29,1993,92707.17
M,HHS,Department of Health and Human Services,Urine Monitoring Program,Fulltime-Regular,Community Services Aide III,2006-07-24,2006,57371.98
M,POL,Department of Police,HQ Office of the Chief Internal Affairs Division,Fulltime-Regular,Police Lieutenant,1994-01-18,1994,123902.96
F,HHS,Department of Health and Human Services,Screening and Assessment Services for Children and Adolescents,Fulltime-Regular,Therapist II,2015-06-15,2015,58360.18
M,DLC,Department of Liquor Control,Muddy Branch,Parttime-Regular,Liquor Store Clerk I,2014-09-29,2014,28772.07
M,DOT,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Program Specialist I,2016-03-21,2016,55275.0
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016-12-12,2016,45261.0
F,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,2006-01-17,2006,72902.0
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,2005-01-18,2005,75453.0
F,DEP,Department of Environmental Protection,Solid Waste Services Recycling,Fulltime-Regular,Program Manager I,2005-08-22,2005,74253.6
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,1997-09-07,1997,64141.0
F,FIN,Department of Finance,Accounts Payable,Fulltime-Regular,Program Manager II,1994-10-17,1994,102664.0
F,DHS,Office of Emergency Management and Homeland Security,Hazmat Permitting,Fulltime-Regular,Program Specialist I,1994-02-14,1994,76015.03
F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2015-03-09,2015,48145.0
M,DLC,Department of Liquor Control,Special Order Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,1998-11-24,1998,55802.0
M,DGS,Department of General Services,Facilities Major Programs,Fulltime-Regular,Energy Management Systems Technician,2000-12-31,2000,89172.6
M,DLC,Department of Liquor Control,Burtonsville,Fulltime-Regular,Liquor Store Manager,1977-12-19,1977,84974.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Depot Supply Coordinator,1989-09-05,1989,66065.23
M,HHS,Department of Health and Human Services,Fiscal Team,Fulltime-Regular,Senior Financial Specialist,2002-11-12,2002,112930.4
M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service and Maintenance Team Supv,1996-02-13,1996,63937.96
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,2008-07-14,2008,72902.0
M,POL,Department of Police,PSB 3rd District Traffic Squad,Fulltime-Regular,Police Sergeant,2000-07-17,2000,103506.0
M,FIN,Department of Finance,Division of the Controller,Fulltime-Regular,Manager II,2009-01-20,2009,156525.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2013-08-12,2013,43525.71
M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer III,2012-02-27,2012,54538.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Coordinator,2004-06-28,2004,58856.63
M,DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,Fulltime-Regular,Public Service Craftsworker I,2002-11-12,2002,64141.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2012-06-18,2012,54523.02
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),1999-08-16,1999,77328.0
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Master Firefighter/Rescuer,1989-07-10,1989,94006.07
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Firefighter/Rescuer III,1985-11-03,1985,88574.84
M,FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Firefighter/Rescuer III,2012-02-27,2012,57265.0
F,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),2016-08-08,2016,44300.0
M,FRS,Fire and Rescue Services,Property and Supply,Fulltime-Regular,Messenger-Clerk,2012-10-08,2012,41897.13
